,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
138,RECLTD,RECLTD,3930881,421.0,RECLTD25MAYFUT,14721538,420.55,0.0,0.0,RECLTD25JUNFUT,14618626,422.0,0.0,0.0,RECLTD25JULFUT,13677570,425.95,0.0,0.0,0.0,0.0
139,RELIANCE,RELIANCE,738561,1301.0,RELIANCE25MAYFUT,14721794,1307.4,0.0,0.0,RELIANCE25JUNFUT,14618882,1315.0,0.0,0.0,RELIANCE25JULFUT,13677826,1323.8,0.0,0.0,0.0,0.0
140,SAIL,SAIL,758529,114.44,SAIL25MAYFUT,14723074,114.85,0.0,0.0,SAIL25JUNFUT,14620162,115.41,0.0,0.0,SAIL25JULFUT,13678082,116.19,0.0,0.0,0.0,0.0
141,SBICARD,SBICARD,4600577,864.85,SBICARD25MAYFUT,14723330,862.55,0.0,0.0,SBICARD25JUNFUT,14620418,863.2,0.0,0.0,SBICARD25JULFUT,13678338,866.5,0.0,0.0,0.0,0.0
142,SBILIFE,SBILIFE,5582849,1691.0,SBILIFE25MAYFUT,14723586,1696.1,0.0,0.0,SBILIFE25JUNFUT,14620674,1707.0,0.0,0.0,SBILIFE25JULFUT,13678594,1710.9,0.0,0.0,0.0,0.0
143,SBIN,SBIN,779521,797.4,SBIN25MAYFUT,14723842,793.2,0.0,0.0,SBIN25JUNFUT,14620930,795.05,0.0,0.0,SBIN25JULFUT,13678850,800.8,0.0,0.0,0.0,0.0
144,SHREECEM,SHREECEM,794369,30460.0,SHREECEM25MAYFUT,14724098,30660.0,0.0,0.0,SHREECEM25JUNFUT,14621186,30665.0,0.0,0.0,SHREECEM25JULFUT,13679106,30490.0,0.0,0.0,0.0,0.0
145,SHRIRAMFIN,SHRIRAMFIN,1102337,640.0,SHRIRAMFIN25MAYFUT,14724354,640.35,0.0,0.0,SHRIRAMFIN25JUNFUT,14621442,643.45,0.0,0.0,SHRIRAMFIN25JULFUT,13679362,645.0,0.0,0.0,0.0,0.0
146,SIEMENS,SIEMENS,806401,2832.0,SIEMENS25MAYFUT,14724610,2832.0,0.0,0.0,SIEMENS25JUNFUT,14622722,2851.0,0.0,0.0,SIEMENS25JULFUT,13679618,2880.0,0.0,0.0,0.0,0.0
147,SJVN,SJVN,4834049,96.0,SJVN25MAYFUT,14724866,95.74,0.0,0.0,SJVN25JUNFUT,14622978,94.4,0.0,0.0,SJVN25JULFUT,13679874,92.4,0.0,0.0,0.0,0.0
148,SOLARINDS,SOLARINDS,3412993,12714.0,SOLARINDS25MAYFUT,14725122,12681.0,0.0,0.0,SOLARINDS25JUNFUT,14623234,12790.0,0.0,0.0,SOLARINDS25JULFUT,13680130,12850.0,0.0,0.0,0.0,0.0
149,SONACOMS,SONACOMS,1199105,453.3,SONACOMS25MAYFUT,14725378,447.0,0.0,0.0,SONACOMS25JUNFUT,14623490,437.8,0.0,0.0,SONACOMS25JULFUT,13680386,444.7,0.0,0.0,0.0,0.0
150,SRF,SRF,837889,2979.0,SRF25MAYFUT,14725634,2967.5,0.0,0.0,SRF25JUNFUT,14624770,2980.0,0.0,0.0,SRF25JULFUT,13680642,3000.0,0.0,0.0,0.0,0.0
151,SUNPHARMA,SUNPHARMA,857857,1781.8,SUNPHARMA25MAYFUT,14725890,1786.7,0.0,0.0,SUNPHARMA25JUNFUT,14625026,1797.0,0.0,0.0,SUNPHARMA25JULFUT,13680898,0.0,0.0,0.0,0.0,0.0
152,SUPREMEIND,SUPREMEIND,860929,3471.7,SUPREMEIND25MAYFUT,14726146,3472.8,0.0,0.0,SUPREMEIND25JUNFUT,14643202,3479.8,0.0,0.0,SUPREMEIND25JULFUT,13681154,3560.0,0.0,0.0,0.0,0.0
153,TATACOMM,TATACOMM,952577,1564.2,TATACOMM25MAYFUT,14726914,1564.8,0.0,0.0,TATACOMM25JUNFUT,14649090,1566.1,0.0,0.0,TATACOMM25JULFUT,13682946,1576.4,0.0,0.0,0.0,0.0
154,TATACONSUM,TATACONSUM,878593,1149.0,TATACONSUM25MAYFUT,14727682,1151.2,0.0,0.0,TATACONSUM25JUNFUT,14649346,1154.2,0.0,0.0,TATACONSUM25JULFUT,13683202,1165.6,0.0,0.0,0.0,0.0
155,TATAELXSI,TATAELXSI,873217,5600.0,TATAELXSI25MAYFUT,14727938,5522.0,0.0,0.0,TATAELXSI25JUNFUT,14649602,5368.0,0.0,0.0,TATAELXSI25JULFUT,13683458,5424.0,0.0,0.0,0.0,0.0
156,TATAMOTORS,TATAMOTORS,884737,654.15,TATAMOTORS25MAYFUT,14728194,657.75,0.0,0.0,TATAMOTORS25JUNFUT,14652930,659.3,0.0,0.0,TATAMOTORS25JULFUT,13683714,663.25,0.0,0.0,0.0,0.0
157,TATAPOWER,TATAPOWER,877057,386.8,TATAPOWER25MAYFUT,14728450,388.15,0.0,0.0,TATAPOWER25JUNFUT,14653186,389.35,0.0,0.0,TATAPOWER25JULFUT,13683970,390.5,0.0,0.0,0.0,0.0
158,TATASTEEL,TATASTEEL,895745,138.54,TATASTEEL25MAYFUT,14728706,138.68,0.0,0.0,TATASTEEL25JUNFUT,14655490,139.65,0.0,0.0,TATASTEEL25JULFUT,13684226,140.4,0.0,0.0,0.0,0.0
