symbol,listing_date,entry_num,status,entry_date,entry_price,stop_price,exit_date,exit_price,return_pct,days_to_entry,days_held,last_date,last_price
PYRAMID,2023-08-29,1.0,stop_hit,2023-09-06,171.0,153.9,2024-03-12,153.9,-10.0,8.0,188.0,,
AEROFLEX,2023-08-31,1.0,stop_hit,2023-08-31,163.25,146.93,2023-09-13,146.93,-10.0,0.0,13.0,,
VPRPL,2023-09-05,1.0,survived_positive,2023-09-05,145.7,,2024-09-05,241.76,65.93,0.0,366.0,,
RATNAVEER,2023-09-11,1.0,stop_hit,2023-10-12,120.75,108.67,2024-06-04,108.67,-10.0,31.0,236.0,,
RISHABH,2023-09-11,1.0,stop_hit,2023-09-27,474.3,426.87,2024-03-13,426.87,-10.0,16.0,168.0,,
JLHL,2023-09-18,1.0,survived_positive,2023-09-18,1075.75,,2024-09-18,1368.35,27.2,0.0,366.0,,
RRKABEL,2023-09-20,1.0,survived_positive,2023-09-28,1269.15,,2024-09-20,1707.55,34.54,8.0,358.0,,
EMSLIMITED,2023-09-21,1.0,survived_positive,2023-09-28,259.1,,2024-09-23,801.05,209.17,7.0,361.0,,
SAMHI,2023-09-22,1.0,survived_positive,2023-09-22,143.4,,2024-09-23,210.26,46.62,0.0,367.0,,
ZAGGLE,2023-09-22,1.0,survived_positive,2023-09-22,158.35,,2024-09-23,446.05,181.69,0.0,367.0,,
KALAMANDIR,2023-09-27,1.0,stop_hit,2023-09-28,251.35,226.22,2023-10-26,226.22,-10.0,1.0,28.0,,
SIGNATURE,2023-09-27,1.0,survived_positive,2023-10-06,483.7,,2024-09-27,1588.3,228.36,9.0,357.0,,
YATRA,2023-09-28,1.0,stop_hit,2023-09-29,136.85,123.17,2024-06-04,123.17,-10.0,1.0,249.0,,
MVGJL,2023-10-03,1.0,stop_hit,2023-10-06,222.7,200.43,2024-03-12,200.43,-10.0,3.0,158.0,,
JSWINFRA,2023-10-03,1.0,survived_positive,2023-10-03,157.3,,2024-10-03,333.25,111.86,0.0,366.0,,
UDS,2023-10-04,1.0,survived_positive,2023-10-25,265.15,,2024-10-04,370.55,39.75,21.0,345.0,,
VALIANTLAB,2023-10-06,1.0,stop_hit,2023-10-16,185.5,166.95,2023-10-25,166.95,-10.0,10.0,9.0,,
PLAZACABLE,2023-10-12,1.0,stop_hit,2023-10-13,84.2,75.78,2024-06-04,75.78,-10.0,1.0,235.0,,
IRMENERGY,2023-10-26,1.0,stop_hit,2023-10-27,482.15,433.93,2024-06-04,433.93,-10.0,1.0,221.0,,
BLUEJET,2023-11-01,1.0,stop_hit,2023-11-01,413.4,372.06,2023-11-06,372.06,-10.0,0.0,5.0,,
CELLO,2023-11-06,1.0,stop_hit,2024-01-03,828.25,745.43,2024-03-13,745.43,-10.0,58.0,70.0,,
HONASA,2023-11-07,1.0,survived_positive,2023-11-10,317.9,,2024-11-07,378.95,19.2,3.0,363.0,,
ESAFSFB,2023-11-10,1.0,stop_hit,2023-12-18,72.2,64.98,2024-02-09,64.98,-10.0,38.0,53.0,,
ASKAUTOLTD,2023-11-15,1.0,stop_hit,2024-01-19,302.65,272.38,2024-03-11,272.38,-10.0,65.0,52.0,,
IREDA,2023-11-29,1.0,survived_positive,2023-11-29,60.0,,2024-11-29,205.16,241.93,0.0,366.0,,
GANDHAR,2023-11-30,1.0,stop_hit,2023-11-30,301.4,271.26,2023-12-04,271.26,-10.0,0.0,4.0,,
TATATECH,2023-11-30,1.0,stop_hit,2023-11-30,1313.0,1181.7,2023-12-04,1181.7,-10.0,0.0,4.0,,
